Date,Open,High,Low,Close,Adj Close,Volume
2013-07-12,57.0,57.0,57.0,57.0,48.36433792114258,6299
2013-07-15,54.150001525878906,54.150001525878906,54.150001525878906,54.150001525878906,45.94611358642578,1170
2013-07-16,51.45000076293945,55.900001525878906,51.45000076293945,51.45000076293945,43.655181884765625,76341
2013-07-17,49.0,51.29999923706055,48.900001525878906,49.0,41.576358795166016,332761
2013-07-18,48.0,50.0,47.0,48.20000076293945,40.897552490234375,19564
2013-07-19,48.0,50.5,47.79999923706055,48.150001525878906,40.855140686035156,122737
2013-07-22,48.0,50.25,47.099998474121094,47.29999923706055,40.1339111328125,21284
2013-07-23,48.0,48.0,46.04999923706055,46.400001525878906,39.37025833129883,91832
2013-07-24,46.0,46.04999923706055,44.099998474121094,44.150001525878906,37.46114730834961,83039
2013-07-25,43.849998474121094,44.04999923706055,40.25,43.20000076293945,38.39434814453125,77900
2013-07-26,43.04999923706055,46.0,41.04999923706055,41.75,37.105648040771484,15123
2013-07-29,39.0,44.20000076293945,36.0,37.099998474121094,32.97291564941406,259707
2013-07-30,33.29999923706055,39.79999923706055,31.600000381469727,34.70000076293945,30.839902877807617,339114
2013-07-31,33.650001525878906,33.900001525878906,28.5,33.0,29.329010009765625,189477
2013-08-01,32.04999923706055,36.75,31.399999618530273,35.5,31.550905227661133,48138
2013-08-02,35.0,36.0,31.600000381469727,35.599998474121094,31.63977813720703,58357
2013-08-05,35.099998474121094,35.900001525878906,32.45000076293945,34.849998474121094,30.97321319580078,91163
2013-08-06,34.400001525878906,34.400001525878906,32.099998474121094,32.79999923706055,29.151260375976562,361348
2013-08-07,32.0,34.900001525878906,31.600000381469727,33.20000076293945,29.50676155090332,48859
2013-08-08,33.599998474121094,36.0,31.75,34.650001525878906,30.795461654663086,40676
2013-08-12,38.0,38.099998474121094,34.650001525878906,35.849998474121094,31.861970901489258,33176
2013-08-13,38.95000076293945,39.0,34.400001525878906,37.75,33.55061340332031,179827
2013-08-14,39.70000076293945,39.70000076293945,35.25,37.04999923706055,32.9284782409668,25989
2013-08-16,36.150001525878906,37.5,34.29999923706055,35.95000076293945,31.950851440429688,20542
2013-08-19,35.400001525878906,36.0,33.5,34.04999923706055,30.26220703125,28921
2013-08-20,33.54999923706055,35.95000076293945,33.5,33.95000076293945,30.173336029052734,13112
2013-08-21,33.95000076293945,34.849998474121094,33.04999923706055,34.0,30.217769622802734,53594
2013-08-22,33.04999923706055,35.79999923706055,33.0,35.0,31.10651969909668,56956
2013-08-23,36.5,36.5,33.75,33.95000076293945,30.173336029052734,40508
2013-08-26,34.900001525878906,34.95000076293945,32.45000076293945,33.45000076293945,29.72894859313965,37517
2013-08-27,34.0,34.95000076293945,32.150001525878906,33.150001525878906,29.46232795715332,29901
2013-08-28,32.900001525878906,34.650001525878906,32.04999923706055,33.349998474121094,29.64007568359375,121989
2013-08-29,33.0,34.400001525878906,31.649999618530273,33.0,29.329010009765625,52055
2013-08-30,32.650001525878906,33.95000076293945,32.650001525878906,33.04999923706055,29.373445510864258,24639
2013-09-02,33.29999923706055,34.849998474121094,33.0,33.150001525878906,29.46232795715332,1047671
2013-09-03,34.5,34.849998474121094,32.099998474121094,32.650001525878906,29.017946243286133,7159
2013-09-04,34.0,34.0,32.5,33.5,29.773386001586914,9531
2013-09-05,33.5,34.45000076293945,32.5,33.349998474121094,29.64007568359375,27935
2013-09-06,34.400001525878906,34.45000076293945,32.599998474121094,33.400001525878906,29.684518814086914,14297
2013-09-10,33.75,34.849998474121094,32.599998474121094,33.900001525878906,30.128896713256836,45786
2013-09-11,34.0,36.29999923706055,33.650001525878906,35.400001525878906,31.462034225463867,342291
2013-09-12,36.0,36.54999923706055,32.849998474121094,34.25,30.439958572387695,367086
2013-09-13,34.099998474121094,35.70000076293945,33.349998474121094,34.45000076293945,30.617712020874023,232185
2013-09-16,34.20000076293945,36.0,34.0,34.20000076293945,30.395524978637695,127530
2013-09-17,34.25,35.45000076293945,34.150001525878906,34.54999923706055,30.706594467163086,9906
2013-09-18,35.0,35.75,33.54999923706055,34.20000076293945,30.395524978637695,82055
2013-09-19,36.29999923706055,39.0,34.5,37.95000076293945,33.728370666503906,275679
2013-09-20,37.0,37.95000076293945,34.79999923706055,37.0,32.88404846191406,63714
2013-09-23,36.5,38.45000076293945,35.150001525878906,35.650001525878906,31.684221267700195,16034
2013-09-24,36.5,37.349998474121094,35.099998474121094,36.25,32.21747970581055,17570
2013-09-25,36.95000076293945,39.0,36.5,38.0,33.77280044555664,383711
2013-09-26,38.0,39.5,37.04999923706055,37.900001525878906,33.68392562866211,56534
2013-09-27,38.099998474121094,38.25,37.599998474121094,37.79999923706055,33.595054626464844,12542
2013-09-30,39.45000076293945,39.5,37.25,37.79999923706055,33.595054626464844,8011
2013-10-01,37.79999923706055,39.0,37.04999923706055,38.0,33.77280044555664,22736
2013-10-03,38.79999923706055,38.79999923706055,37.20000076293945,38.25,33.9949951171875,37929
2013-10-04,38.0,38.95000076293945,37.5,38.349998474121094,34.083858489990234,23298
2013-10-07,38.45000076293945,39.29999923706055,37.5,38.79999923706055,34.48380661010742,59632
2013-10-08,38.04999923706055,40.04999923706055,37.79999923706055,39.0,34.661556243896484,1417139
2013-10-09,38.5,39.25,37.650001525878906,38.900001525878906,34.57268142700195,606031
2013-10-10,39.79999923706055,40.099998474121094,38.599998474121094,39.849998474121094,35.41700744628906,41610
2013-10-11,40.0,41.349998474121094,40.0,41.04999923706055,36.483516693115234,100489
2013-10-14,38.650001525878906,44.79999923706055,38.650001525878906,43.599998474121094,38.74984359741211,65380
2013-10-15,44.400001525878906,44.849998474121094,42.650001525878906,42.900001525878906,38.12771987915039,20589
2013-10-17,42.900001525878906,44.70000076293945,39.04999923706055,40.599998474121094,36.08357238769531,21283
2013-10-18,41.0,42.099998474121094,39.70000076293945,40.0,35.550315856933594,15654
2013-10-21,40.0,40.5,37.75,40.0,35.550315856933594,60322
2013-10-22,40.5,40.79999923706055,39.650001525878906,40.150001525878906,35.68362808227539,20879
2013-10-23,40.04999923706055,40.70000076293945,39.0,39.650001525878906,35.239261627197266,14843
2013-10-24,39.400001525878906,40.70000076293945,38.5,38.70000076293945,34.39493179321289,20185
2013-10-25,38.70000076293945,39.79999923706055,38.0,38.150001525878906,33.90612030029297,11413
2013-10-28,38.0,39.0,36.0,37.04999923706055,32.9284782409668,37641
2013-10-29,36.5,39.099998474121094,34.650001525878906,38.20000076293945,33.95055389404297,28250
2013-10-30,37.54999923706055,39.45000076293945,35.349998474121094,37.5,33.32843017578125,29147
2013-10-31,39.5,39.5,37.5,37.5,33.32843017578125,64140
2013-11-01,37.5,39.95000076293945,37.099998474121094,39.150001525878906,34.79487609863281,73483
2013-11-05,39.45000076293945,42.099998474121094,38.20000076293945,40.04999923706055,35.59475326538086,46722
2013-11-06,43.400001525878906,44.0,40.0,41.599998474121094,36.97233581542969,152918
2013-11-07,42.0,43.0,41.0,41.349998474121094,36.750144958496094,134567
2013-11-08,41.0,42.5,40.04999923706055,40.900001525878906,36.35020065307617,17463
2013-11-11,40.70000076293945,42.0,39.5,40.45000076293945,35.950260162353516,73992
2013-11-12,40.45000076293945,40.849998474121094,39.5,40.29999923706055,35.81694030761719,30562
2013-11-13,40.0,41.400001525878906,38.54999923706055,39.75,35.328121185302734,45672
2013-11-14,40.5,40.5,38.04999923706055,39.29999923706055,34.928192138671875,45596
2013-11-18,40.5,40.900001525878906,38.849998474121094,39.04999923706055,34.70599365234375,10630
2013-11-19,40.0,40.0,38.150001525878906,38.29999923706055,34.0394287109375,26524
2013-11-20,38.5,39.25,37.29999923706055,38.45000076293945,34.17273712158203,98652
2013-11-21,39.599998474121094,39.599998474121094,37.599998474121094,38.54999923706055,34.26161575317383,18003
2013-11-22,40.5,40.5,37.599998474121094,39.599998474121094,35.19480895996094,45475
2013-11-25,39.0,40.79999923706055,37.70000076293945,39.900001525878906,35.46144485473633,16921
2013-11-26,39.400001525878906,39.79999923706055,37.650001525878906,38.400001525878906,34.12830352783203,194680
2013-11-27,38.95000076293945,39.25,38.20000076293945,38.900001525878906,34.57268142700195,60365
2013-11-28,40.0,40.0,38.25,38.75,34.439369201660156,16259
2013-11-29,38.849998474121094,39.900001525878906,38.29999923706055,39.0,34.661556243896484,26693
2013-12-02,39.0,39.849998474121094,38.650001525878906,38.95000076293945,34.61712646484375,99842
2013-12-03,38.70000076293945,40.400001525878906,38.599998474121094,39.70000076293945,35.283695220947266,88863
2013-12-04,39.29999923706055,40.20000076293945,38.79999923706055,39.95000076293945,35.50587844848633,19979
2013-12-05,40.5,42.0,39.849998474121094,41.5,36.883460998535156,48661
2013-12-06,41.5,42.45000076293945,40.5,41.400001525878906,36.79458236694336,12662
2013-12-09,41.04999923706055,43.0,39.0,42.599998474121094,37.861083984375,67223
2013-12-10,42.150001525878906,45.0,41.5,42.099998474121094,37.416717529296875,35626
2013-12-11,41.75,42.400001525878906,41.29999923706055,41.75,37.105648040771484,14479
2013-12-12,42.0,42.25,40.5,41.25,36.66127014160156,21207
2013-12-13,41.25,41.29999923706055,40.54999923706055,41.0,36.4390754699707,14045
2013-12-16,42.95000076293945,43.0,39.54999923706055,40.099998474121094,35.63918685913086,32051
